datetime,wse,is_near_outlier_wse,is_far_outlier_wse
2023-07-29 23:18:01,4961.322,False,True
2023-07-31 10:07:23,4831.366,False,False
2023-09-09 16:48:12,4795.79,True,False
2023-09-11 03:41:29,4831.701,False,False
2023-09-30 13:33:15,4861.702,False,False
2023-10-02 00:22:37,4860.272,False,False
2023-10-21 10:18:19,4867.161,False,False
2023-10-22 21:07:41,4831.719,False,False
2023-11-11 07:03:25,4855.444,False,False
2023-11-12 17:52:46,4832.673,False,False
2023-12-02 03:48:30,4894.834,True,False
2023-12-02 03:48:30,4894.802,True,False
2023-12-03 14:37:52,4830.642,False,False
2023-12-03 14:37:52,4830.621,False,False
2023-12-23 00:33:34,4846.693,False,False
2023-12-24 11:22:57,4838.449,False,False
2024-01-14 08:08:02,4830.485,False,False
2024-01-14 08:08:02,4830.484,False,False
2024-02-04 04:53:08,4830.798,False,False
2024-02-23 14:48:51,4849.521,False,False
2024-02-25 01:38:13,4830.764,False,False
2024-03-15 11:33:53,4829.173,False,False
2024-04-05 08:18:53,4829.603,False,False
2024-04-06 19:08:49,4834.692,False,False
2024-04-26 05:03:59,4832.175,False,False
2024-04-27 15:53:55,4839.277,False,False
2024-05-17 01:49:08,4842.555,False,False
2024-05-18 12:38:30,4830.969,False,False
2024-06-06 22:34:14,4834.241,False,False
2024-06-08 09:23:35,4831.208,False,False
2024-06-27 19:19:17,4861.992,False,False
2024-06-29 06:08:39,4831.26,False,False
2024-07-20 02:53:44,4838.936,False,False
2024-08-08 12:49:26,4934.915,False,True
2024-08-09 23:38:48,4831.889,False,False
2024-08-30 20:24:23,4831.75,False,False
2024-09-19 06:19:37,4854.278,False,False
2024-10-10 03:04:43,4979.932,False,True
2024-11-20 20:34:52,4921.254,False,True
2024-11-22 07:24:14,4834.012,False,False
2024-12-11 17:19:56,4781.777,True,False
2024-12-13 04:09:18,4835.428,False,False
2025-01-01 14:05:01,4840.516,False,False
2025-01-03 00:54:23,4838.078,False,False
2025-01-22 10:50:06,4832.454,False,False
2025-01-23 21:39:28,4836.533,False,False
2025-03-05 04:20:14,4833.595,False,False
2025-03-06 15:09:35,4832.993,False,False
2025-03-26 01:05:19,4833.374,False,False
2025-03-27 11:54:40,4837.047,False,False
2025-04-15 21:50:24,4852.307,False,False
2025-04-17 08:39:46,4851.855,False,False
