datetime,wse,is_near_outlier_wse,is_far_outlier_wse
2023-08-11 08:30:17,4395.184,False,False
2023-09-01 05:19:16,4394.391,False,False
2023-09-20 15:07:23,4394.758,False,False
2023-10-11 11:52:25,4394.572,False,False
2023-10-12 22:45:30,4394.408,False,False
2023-11-01 08:37:31,4394.574,False,False
2023-11-22 05:22:36,4394.987,False,False
2023-11-22 05:22:36,4395.006,False,False
2023-11-23 16:15:41,4394.662,False,False
2023-11-23 16:15:41,4394.649,False,False
2023-12-14 13:00:44,4394.517,False,False
2023-12-14 13:00:44,4394.532,False,False
2024-01-02 22:52:46,4395.116,False,False
2024-01-02 22:52:46,4395.077,False,False
2024-01-04 09:45:51,4394.642,False,False
2024-01-04 09:45:51,4394.653,False,False
2024-01-23 19:37:52,4395.276,False,False
2024-01-25 06:30:57,4394.664,False,False
2024-02-13 16:22:57,4393.938,False,False
2024-02-15 03:16:01,4393.167,True,False
2024-03-07 00:01:05,4393.286,True,False
2024-03-27 20:46:23,4394.679,False,False
2024-04-17 17:31:29,4392.943,True,False
2024-05-07 03:23:14,4394.802,False,False
2024-05-08 14:16:18,4393.891,False,False
2024-05-29 11:01:24,4394.346,False,False
2024-06-17 20:53:24,4395.03,False,False
2024-06-19 07:46:29,4375.895,False,True
2024-07-10 04:31:32,4394.906,False,False
2024-08-20 22:01:55,4393.95,False,False
2024-10-21 01:23:54,4394.547,False,False
2024-10-22 12:16:53,4375.148,False,True
2024-11-12 09:01:57,4374.269,False,True
2024-12-01 18:54:03,4395.097,False,False
2024-12-03 05:47:02,4394.619,False,False
2024-12-22 15:39:07,4394.511,False,False
2024-12-24 02:32:06,4394.754,False,False
2025-01-13 23:17:10,4394.47,False,False
2025-02-02 09:09:16,4394.308,False,False
2025-02-03 20:02:14,4394.302,False,False
2025-02-23 05:54:21,4394.329,False,False
2025-02-24 16:47:20,4394.623,False,False
2025-03-16 02:39:25,4394.932,False,False
2025-03-17 13:32:24,4366.913,False,True
2025-04-05 23:24:29,4395.433,False,False
2025-04-07 10:17:28,4375.881,False,True
2025-04-26 20:09:35,4394.054,False,False
2025-04-28 07:02:34,4394.533,False,False
